,database,query,num_topics,qry_topics,num_documents,rand_seed,coherence,ext_query_size,num_relevant,f_distance,top_10_true,top_20_true
63,Kitchenham,literatur_review,40,3,1704,310,0.3668521906288013,600,45,35,0,0
64,Kitchenham,literatur_review,50,3,1704,310,0.3552794666235414,263,45,51,0,0
65,Kitchenham,literatur_review,60,5,1704,310,0.3420570704158286,203,45,27,0,0
66,Kitchenham,literatur_review,70,5,1704,310,0.3330890869999175,404,45,17,0,1
67,Kitchenham,literatur_review,80,4,1704,310,0.3289663738259856,318,45,42,0,0
68,Kitchenham,literatur_review,90,5,1704,310,0.3352048449805233,406,45,29,0,0
69,Kitchenham,literatur_review,100,4,1704,310,0.32971506299137004,528,45,70,0,0
70,Kitchenham,literatur_review,110,5,1704,310,0.3367859786797029,548,45,61,0,0
71,Kitchenham,literatur_review,120,5,1704,310,0.327013771371701,278,45,52,0,0
72,Kitchenham,literatur_review,130,4,1704,310,0.33139599571189493,423,45,5,1,1
73,Kitchenham,literatur_review,140,4,1704,310,0.33875775309965994,205,45,16,0,1
74,Kitchenham,literatur_review,150,6,1704,310,0.3314836218238476,362,45,14,0,1
75,Kitchenham,literatur_review,160,3,1704,310,0.3342005461990324,225,45,42,0,0
76,Kitchenham,literatur_review,170,5,1704,310,0.3516140449380134,163,45,27,0,0
77,Kitchenham,literatur_review,180,3,1704,310,0.34204035478089173,164,45,35,0,0
78,Kitchenham,literatur_review,190,7,1704,310,0.3486344867698351,255,45,21,0,0
79,Kitchenham,literatur_review,200,3,1704,310,0.3517256816613194,211,45,39,0,0
80,Kitchenham,literatur_review,10,2,1704,983,0.46561897139253394,1045,45,2,1,1
81,Kitchenham,literatur_review,20,2,1704,983,0.42339350158018274,800,45,55,0,0
82,Kitchenham,literatur_review,30,2,1704,983,0.37663525833701506,636,45,23,0,0
83,Kitchenham,literatur_review,40,3,1704,983,0.371024135006667,510,45,26,0,0
84,Kitchenham,literatur_review,50,2,1704,983,0.34932605317837917,267,45,31,0,0
85,Kitchenham,literatur_review,60,6,1704,983,0.3451940825446503,145,45,15,0,1
86,Kitchenham,literatur_review,70,5,1704,983,0.3418707592547615,417,45,13,0,1
87,Kitchenham,literatur_review,80,6,1704,983,0.3404673561771906,521,45,50,0,0
88,Kitchenham,literatur_review,90,4,1704,983,0.3305447678273807,413,45,6,1,1
89,Kitchenham,literatur_review,100,3,1704,983,0.34978624107049966,446,45,11,0,2
90,Kitchenham,literatur_review,110,6,1704,983,0.3348649436230309,418,45,5,1,2
91,Kitchenham,literatur_review,120,4,1704,983,0.3360012583669448,342,45,28,0,0
92,Kitchenham,literatur_review,130,6,1704,983,0.3335168800219424,404,45,61,0,0
93,Kitchenham,literatur_review,140,6,1704,983,0.3378096382580358,313,45,16,0,1
94,Kitchenham,literatur_review,150,6,1704,983,0.33555382589353777,277,45,8,1,1
95,Kitchenham,literatur_review,160,5,1704,983,0.34044953506508213,214,45,18,0,1
96,Kitchenham,literatur_review,170,3,1704,983,0.33560390409218444,159,45,9,1,1
97,Kitchenham,literatur_review,180,6,1704,983,0.3482846079009217,221,45,3,2,3
98,Kitchenham,literatur_review,190,3,1704,983,0.34759694834694094,168,45,2,1,4
99,Kitchenham,literatur_review,200,5,1704,983,0.35471283801866577,185,45,6,2,6
100,Radjenovic,defect_predict metric,10,1,6000,534,0.4405051541852737,967,48,2,1,6
101,Radjenovic,defect_predict metric,20,1,6000,534,0.4382602622356681,730,48,17,0,2
102,Radjenovic,defect_predict metric,30,1,6000,534,0.42135113384393563,588,48,11,0,1
103,Radjenovic,defect_predict metric,40,1,6000,534,0.42186750271546886,370,48,9,1,2
104,Radjenovic,defect_predict metric,50,50,6000,534,0.3962912053033419,2,48,1,3,7
105,Radjenovic,defect_predict metric,60,1,6000,534,0.3822047964316898,496,48,18,0,1
106,Radjenovic,defect_predict metric,70,70,6000,534,0.37576146464758375,2,48,4,1,2
107,Radjenovic,defect_predict metric,80,80,6000,534,0.36480503288211913,2,48,1,4,6
108,Radjenovic,defect_predict metric,90,90,6000,534,0.3680346681691737,2,48,65,0,0
109,Radjenovic,defect_predict metric,100,2,6000,534,0.3516703231564721,2,48,1,6,7
110,Radjenovic,defect_predict metric,110,2,6000,534,0.34931386943269743,2,48,2,3,5
111,Radjenovic,defect_predict metric,120,2,6000,534,0.34259713427820404,2,48,2,5,6
112,Radjenovic,defect_predict metric,130,2,6000,534,0.3422075232759488,2,48,43,0,0
113,Radjenovic,defect_predict metric,140,2,6000,534,0.3489704944310621,2,48,1,3,7
114,Radjenovic,defect_predict metric,150,2,6000,534,0.3492435184705005,2,48,1,3,7
115,Radjenovic,defect_predict metric,160,2,6000,534,0.343925530133023,2,48,1,5,7
116,Radjenovic,defect_predict metric,170,2,6000,534,0.34341547969871616,2,48,1,2,3
117,Radjenovic,defect_predict metric,180,2,6000,534,0.34037603572309844,2,48,28,0,0
118,Radjenovic,defect_predict metric,190,1,6000,534,0.3378802558318402,211,48,3,1,2
119,Radjenovic,defect_predict metric,200,2,6000,534,0.3409995268073097,2,48,9,1,4
120,Radjenovic,defect_predict metric,10,10,6000,424,0.42856387506145033,2,48,5,1,1
121,Radjenovic,defect_predict metric,20,20,6000,424,0.43926918740180837,2,48,3,2,2
122,Radjenovic,defect_predict metric,30,1,6000,424,0.4295489554862339,632,48,20,0,1
123,Radjenovic,defect_predict metric,40,40,6000,424,0.41802367333255025,2,48,2,1,2
124,Radjenovic,defect_predict metric,50,50,6000,424,0.4000116750400125,2,48,4,1,3
125,Radjenovic,defect_predict metric,60,1,6000,424,0.3873643551595816,467,48,10,1,2
126,Radjenovic,defect_predict metric,70,70,6000,424,0.3753169711362821,2,48,1,3,4
127,Radjenovic,defect_predict metric,80,80,6000,424,0.36982811226463896,2,48,3,4,5
128,Radjenovic,defect_predict metric,90,1,6000,424,0.3612382835878565,448,48,2,1,2
129,Radjenovic,defect_predict metric,100,1,6000,424,0.35443847771212167,416,48,1,1,1
130,Radjenovic,defect_predict metric,110,2,6000,424,0.347961071948616,2,48,1,2,3
131,Radjenovic,defect_predict metric,120,2,6000,424,0.35579276426068135,2,48,1,4,6
132,Radjenovic,defect_predict metric,130,2,6000,424,0.34640183928605534,2,48,23,0,0
133,Radjenovic,defect_predict metric,140,2,6000,424,0.33997248899359833,2,48,8,1,2
134,Radjenovic,defect_predict metric,150,2,6000,424,0.3391646991845529,2,48,1,3,5
135,Radjenovic,defect_predict metric,160,2,6000,424,0.34863579574047177,2,48,5,3,5
136,Radjenovic,defect_predict metric,170,2,6000,424,0.3428649490899655,2,48,3,4,4
137,Radjenovic,defect_predict metric,180,2,6000,424,0.3362025765987354,2,48,4,3,4
138,Radjenovic,defect_predict metric,190,2,6000,424,0.33709481978266076,2,48,5,1,2
139,Radjenovic,defect_predict metric,200,2,6000,424,0.3343060678767716,2,48,2,3,6
140,Radjenovic,defect_predict metric,10,10,6000,826,0.44165891573538696,2,48,5,1,1
141,Radjenovic,defect_predict metric,20,20,6000,826,0.4347232199676007,2,48,9,1,2
142,Radjenovic,defect_predict metric,30,1,6000,826,0.41793987014166617,622,48,10,1,1
143,Radjenovic,defect_predict metric,40,1,6000,826,0.40228987646529496,360,48,13,0,1
144,Radjenovic,defect_predict metric,50,50,6000,826,0.39906255849898287,2,48,3,2,2
145,Radjenovic,defect_predict metric,60,60,6000,826,0.3848324993162728,2,48,2,1,1
146,Radjenovic,defect_predict metric,70,70,6000,826,0.38060053671997374,2,48,60,0,0
147,Radjenovic,defect_predict metric,80,80,6000,826,0.37138579129560834,2,48,1,4,6
148,Radjenovic,defect_predict metric,90,90,6000,826,0.36055836375638994,2,48,4,2,4
149,Radjenovic,defect_predict metric,100,2,6000,826,0.3637349404653329,2,48,4,4,7
150,Radjenovic,defect_predict metric,110,2,6000,826,0.35328944172372095,2,48,19,0,1
151,Radjenovic,defect_predict metric,120,2,6000,826,0.35190741337739756,2,48,2,3,3
152,Radjenovic,defect_predict metric,130,2,6000,826,0.3496804375944995,2,48,2,3,4
153,Radjenovic,defect_predict metric,140,1,6000,826,0.34509282501568517,329,48,5,3,8
154,Radjenovic,defect_predict metric,150,2,6000,826,0.34079209147712175,2,48,1,5,7
155,Radjenovic,defect_predict metric,160,2,6000,826,0.33710039417706317,2,48,3,2,3
156,Radjenovic,defect_predict metric,170,2,6000,826,0.33975033316496783,2,48,2,3,5
157,Radjenovic,defect_predict metric,180,2,6000,826,0.33520558960529995,2,48,4,2,5
158,Radjenovic,defect_predict metric,190,2,6000,826,0.33681699469056325,2,48,5,1,2
159,Radjenovic,defect_predict metric,200,2,6000,826,0.33526901210317617,2,48,8,1,1
160,Radjenovic,defect_predict metric,10,1,6000,310,0.4353343961493352,984,48,2,2,3
161,Radjenovic,defect_predict metric,20,20,6000,310,0.4323719514594102,2,48,7,1,1
162,Radjenovic,defect_predict metric,30,1,6000,310,0.4320030908544275,620,48,14,0,1
163,Radjenovic,defect_predict metric,40,1,6000,310,0.41441510185280556,533,48,22,0,0
164,Radjenovic,defect_predict metric,50,50,6000,310,0.40688117087446884,2,48,9,1,3
165,Radjenovic,defect_predict metric,60,60,6000,310,0.38106840334918185,2,48,10,1,1
166,Radjenovic,defect_predict metric,70,70,6000,310,0.3847662774470543,2,48,18,0,1
167,Radjenovic,defect_predict metric,80,80,6000,310,0.36655770481205757,2,48,2,2,5
168,Radjenovic,defect_predict metric,90,90,6000,310,0.3610173938787461,2,48,9,1,1
169,Radjenovic,defect_predict metric,100,2,6000,310,0.3579636888403877,2,48,12,0,2
170,Radjenovic,defect_predict metric,110,2,6000,310,0.35356353597281887,2,48,5,1,1
171,Radjenovic,defect_predict metric,120,1,6000,310,0.34485315686517015,338,48,1,5,8
172,Radjenovic,defect_predict metric,130,2,6000,310,0.3471528350914031,2,48,2,3,6
173,Radjenovic,defect_predict metric,140,2,6000,310,0.3450272281464663,2,48,7,2,4
